subject,SO_Source_Distance,Source,SO,pre_post,Outflow_peak
7,2,2,4,2,0.847049698710022
7,1,3,4,1,0.856134535175433
7,1,3,4,2,0.853498613699942
7,0,4,4,1,0.85403683571389
7,0,4,4,2,0.85085125776205
8,0,1,1,1,0.844793918763417
8,0,1,1,2,0.842557982993981
8,1,2,1,1,0.833985547517562
8,1,2,1,2,0.83094475641039
8,2,3,1,1,0.837871156165104
8,2,3,1,2,0.82984636402658
8,3,4,1,1,0.82470932562097
8,1,1,2,1,0.843648588664107
8,1,1,2,2,0.837013849519898
8,0,2,2,1,0.844550741368271
8,0,2,2,2,0.84297350135078
8,1,3,2,1,0.844345775931413
8,1,3,2,2,0.840170344657866
8,2,4,2,1,0.832019465273755
8,2,1,3,1,0.838903819669479
8,2,1,3,2,0.828778183106982
8,1,2,3,1,0.843166077526979
8,1,2,3,2,0.836231096783714
8,0,3,3,1,0.850253378841304
8,0,3,3,2,0.846556001322293
8,1,4,3,1,0.844088674159485
8,1,4,3,2,0.832687574107113
8,3,1,4,1,0.839047148788983
8,3,1,4,2,0.828932597804581
8,2,2,4,1,0.843651678873856
8,2,2,4,2,0.834883136536214
8,1,3,4,1,0.850422968788556
8,1,3,4,2,0.847073679055382
8,0,4,4,1,0.844541613686059
8,0,4,4,2,0.834970483407479
9,0,1,1,1,0.848325050076245
9,0,1,1,2,0.850208198729387
9,1,2,1,1,0.846075390906318
9,1,2,1,2,0.84142482968079
9,2,3,1,1,0.843928710398929
9,2,3,1,2,0.837371051694087
9,3,4,1,1,0.831324250634473
9,1,1,2,1,0.849064081031942
9,1,1,2,2,0.845557394468709
9,0,2,2,1,0.853997171469062
9,0,2,2,2,0.85061718851446
9,1,3,2,1,0.853109776331565
9,1,3,2,2,0.849684701312464
9,2,4,2,1,0.841278766173955
9,2,4,2,2,0.834086067688445
9,2,1,3,1,0.843835124157602
9,2,1,3,2,0.836525131544502
9,1,2,3,1,0.851649585402256
9,1,2,3,2,0.847039911472285
9,0,3,3,2,0.854657945584858
9,1,4,3,1,0.852123437936077
9,1,4,3,2,0.847821501264888
9,3,1,4,1,0.838685776030468
9,3,1,4,2,0.833260276297524
9,2,2,4,1,0.844302684235995
9,2,2,4,2,0.840023123599044
9,1,3,4,1,0.855713166694981
9,1,3,4,2,0.853234228550423
9,0,4,4,1,0.85409470447912
9,0,4,4,2,0.850370913416511
10,0,1,1,1,0.847964789312849
10,0,1,1,2,0.850249726197444
10,1,2,1,1,0.845380306432934
10,1,2,1,2,0.842017663954206
10,2,3,1,1,0.83655126611796
10,2,3,1,2,0.832320757978855
10,1,1,2,1,0.84659743810815
10,1,1,2,2,0.845767816982215
10,0,2,2,1,0.848416800758642
10,0,2,2,2,0.84703271583531
10,1,3,2,1,0.84521442387503
10,1,3,2,2,0.843017188567903
10,2,4,2,1,0.82850153006066
10,2,1,3,1,0.847007472640621
10,2,1,3,2,0.838442249790725
10,1,2,3,1,0.850429627241396
10,1,2,3,2,0.846306087796925
10,0,3,3,1,0.85327575844142
10,0,3,3,2,0.850443863462633
10,1,4,3,1,0.843989238550335
10,1,4,3,2,0.836750075969193
10,3,1,4,1,0.846745145091834
10,3,1,4,2,0.834400961136087
10,2,2,4,1,0.849532288343788
10,2,2,4,2,0.835120206345185
10,1,3,4,1,0.85272013683232
10,1,3,4,2,0.850611126934215
10,0,4,4,1,0.849677933825019
10,0,4,4,2,0.84422293589884
11,0,1,1,1,0.853747133648307
11,0,1,1,2,0.853021245093096
11,1,2,1,1,0.851892407589329
11,1,2,1,2,0.850612994592486
11,2,3,1,1,0.849330453996197
11,2,3,1,2,0.845955244592612
11,3,4,1,1,0.835199126261801
11,3,4,1,2,0.824376718943627
11,1,1,2,2,0.85161343570688
11,0,2,2,2,0.854728700416171
11,1,3,2,2,0.854093673633191
11,2,4,2,1,0.847624790485325
11,2,4,2,2,0.840955717147259
11,2,1,3,1,0.854284767503285
11,2,1,3,2,0.84936313137127
11,1,2,3,2,0.854594065491357
11,1,4,3,1,0.855635294158147
11,1,4,3,2,0.849565151526851
11,3,1,4,1,0.85369445426459
11,3,1,4,2,0.850255945125237
11,2,2,4,2,0.85386368045339
11,0,4,4,2,0.853187882177156
12,0,1,1,1,0.847565851206796
12,0,1,1,2,0.847454610110962
12,1,2,1,1,0.839608204424521
12,1,2,1,2,0.837725882357585
12,2,3,1,1,0.836157885386715
12,2,3,1,2,0.829541119371384
12,1,1,2,1,0.845068670095401
12,1,1,2,2,0.839470858026467
12,0,2,2,1,0.848328571969183
12,0,2,2,2,0.841567271157486
12,1,3,2,1,0.848082824354268
12,1,3,2,2,0.84101578313838
12,2,4,2,1,0.829118592558489
12,2,1,3,1,0.839490777065401
12,2,1,3,2,0.831314062023611
12,1,2,3,1,0.846117537280133
12,1,2,3,2,0.83911282972633
12,0,3,3,1,0.851532058387627
12,0,3,3,2,0.845807336011249
12,1,4,3,1,0.841390864079493
12,1,4,3,2,0.831396096469118
12,3,1,4,1,0.833352618076116
12,3,1,4,2,0.826347016105491
12,2,2,4,1,0.839912892225474
12,2,2,4,2,0.837888077657574
12,1,3,4,1,0.850535679521013
12,1,3,4,2,0.846358147275307
12,0,4,4,1,0.84563472061716
12,0,4,4,2,0.841759382583972
13,0,1,1,1,0.849709902684153
13,0,1,1,2,0.845675547969842
13,1,2,1,1,0.84585363407612
13,1,2,1,2,0.840627288876054
13,2,3,1,1,0.843482404483597
13,2,3,1,2,0.834905692857166
13,1,1,2,1,0.844748945336567
13,1,1,2,2,0.838666159854095
13,0,2,2,1,0.848967441447974
13,0,2,2,2,0.844240628180121
13,1,3,2,1,0.84868798364939
13,1,3,2,2,0.841691874518024
13,2,4,2,1,0.826439094138931
13,2,1,3,1,0.837796731339311
13,2,1,3,2,0.825089401017066
13,1,2,3,1,0.848577195600391
13,1,2,3,2,0.839882946434
13,0,3,3,1,0.853582528367945
13,0,3,3,2,0.849105048790808
13,1,4,3,1,0.843345057016322
13,1,4,3,2,0.833139608780828
13,3,1,4,1,0.838031871202071
13,3,1,4,2,0.826445161389111
13,2,2,4,1,0.84903141776834
13,2,2,4,2,0.840833590550754
13,1,3,4,1,0.855783999541066
13,1,3,4,2,0.850534300839997
13,0,4,4,1,0.850654129054332
13,0,4,4,2,0.842115249873085
14,0,1,1,1,0.845674946169608
14,0,1,1,2,0.8406084508119
14,1,2,1,1,0.839618097461344
14,1,2,1,2,0.833414950429622
14,2,3,1,1,0.827124994595939
14,1,1,2,1,0.841698765024374
14,1,1,2,2,0.835931419745011
14,0,2,2,1,0.844858465879788
14,0,2,2,2,0.839523620641196
14,1,3,2,1,0.839469497378046
14,1,3,2,2,0.832063267285515
14,2,1,3,1,0.827191605066865
14,1,2,3,1,0.841297330094891
14,1,2,3,2,0.833408796421131
14,0,3,3,1,0.846279697623455
14,0,3,3,2,0.843889151519466
14,1,4,3,1,0.827552285838448
14,2,2,4,1,0.831804451088107
14,2,2,4,2,0.827848412418058
14,1,3,4,1,0.847088630282715
14,1,3,4,2,0.84261772191387
14,0,4,4,1,0.836985674228685
14,0,4,4,2,0.830632456348418
15,0,1,1,1,0.845843320986057
15,0,1,1,2,0.844673446409148
15,1,2,1,1,0.8304118902023
15,1,2,1,2,0.824523731096685
15,1,1,2,1,0.843288437669733
15,1,1,2,2,0.841950643065843
15,0,2,2,1,0.840739918625638
15,0,2,2,2,0.834856432200141
15,1,3,2,1,0.834147063241185
15,1,3,2,2,0.826030719346016
15,2,1,3,1,0.831880890071731
15,2,1,3,2,0.831130465834168
15,1,2,3,1,0.832255252402231
15,1,2,3,2,0.830533387444615
15,0,3,3,1,0.842457499332724
15,0,3,3,2,0.838107477667628
15,1,4,3,1,0.829638843416633
15,3,1,4,1,0.829830063383571
15,3,1,4,2,0.829627919896522
15,2,2,4,1,0.827044899379518
15,2,2,4,2,0.825178360431703
15,1,3,4,1,0.841939190434276
15,1,3,4,2,0.837170294645969
15,0,4,4,1,0.838965502172805
15,0,4,4,2,0.831997067995386
16,0,1,1,1,0.846050333868926
16,0,1,1,2,0.842364095648551
16,1,2,1,1,0.834009503991764
16,1,2,1,2,0.830076251355739
16,2,3,1,1,0.827895908648631
16,1,1,2,1,0.84080833165504
16,1,1,2,2,0.837180089967815
16,0,2,2,1,0.846111328525211
16,0,2,2,2,0.839357928589463
16,1,3,2,1,0.842267827844104
16,1,3,2,2,0.836665613017715
16,2,1,3,1,0.831564531577518
16,2,1,3,2,0.826712249784825
16,1,2,3,1,0.844461179939826
16,1,2,3,2,0.835934534868759
16,0,3,3,1,0.847590947878401
16,0,3,3,2,0.844983653492488
16,1,4,3,1,0.8306032863331
16,3,1,4,1,0.827666351051391
16,2,2,4,1,0.840389013388688
16,2,2,4,2,0.828995091946487
16,1,3,4,1,0.848820852063894
16,1,3,4,2,0.842805961550907
16,0,4,4,1,0.840383540192278
16,0,4,4,2,0.826561513677661
17,0,1,1,1,0.84703558937965
17,0,1,1,2,0.846125960181338
17,1,2,1,1,0.826438031134931
17,1,1,2,1,0.845139115737915
17,1,1,2,2,0.839173240496884
17,0,2,2,1,0.840627946015373
17,0,2,2,2,0.83279397954758
17,1,3,2,1,0.840284535438072
17,1,3,2,2,0.832265674493169
17,2,4,2,1,0.831434899542506
17,2,4,2,2,0.824983879476228
17,2,1,3,1,0.826759826595972
17,2,1,3,2,0.824293674462076
17,1,2,3,1,0.843151916857027
17,1,2,3,2,0.838584591282585
17,0,3,3,1,0.845206820007382
17,0,3,3,2,0.847993269506949
17,1,4,3,1,0.840395218210236
17,1,4,3,2,0.841911707811736
17,3,1,4,2,0.825130831853317
17,2,2,4,1,0.84607308949842
17,2,2,4,2,0.840184687290226
17,1,3,4,1,0.848474521427326
17,1,3,4,2,0.842573546029316
17,0,4,4,1,0.844419253952462
17,0,4,4,2,0.844637254899826
18,0,1,1,1,0.847456220138867
18,0,1,1,2,0.844165400171382
18,1,1,2,1,0.826444635383693
18,1,1,2,2,0.827075447061561
18,0,2,2,1,0.833230431028097
18,0,2,2,2,0.823504477842367
18,1,3,2,1,0.845403181579352
18,1,3,2,2,0.836490428061502
18,2,4,2,1,0.833024731133893
18,1,2,3,1,0.835615500520603
18,1,2,3,2,0.827584742637596
18,0,3,3,1,0.849940450817271
18,0,3,3,2,0.84247376621722
18,1,4,3,1,0.840329410391786
18,1,4,3,2,0.832558921965497
18,2,2,4,1,0.837813168818194
18,2,2,4,2,0.825097999919614
18,1,3,4,1,0.848194086444801
18,1,3,4,2,0.842902347668768
18,0,4,4,1,0.844067910036292
18,0,4,4,2,0.837884341622505
19,0,1,1,1,0.844520537101147
19,0,1,1,2,0.846940950371695
19,1,2,1,1,0.840592795706908
19,1,2,1,2,0.838982348913066
19,2,3,1,1,0.836710719295446
19,2,3,1,2,0.833222159755094
19,1,1,2,1,0.839567081501425
19,1,1,2,2,0.838543021496869
19,0,2,2,1,0.846537336420991
19,0,2,2,2,0.843107747875227
19,1,3,2,1,0.846259141915313
19,1,3,2,2,0.842689653889722
19,2,1,3,1,0.830123234310839
19,2,1,3,2,0.82819116026735
19,1,2,3,1,0.844884699929572
19,1,2,3,2,0.839955403145936
19,0,3,3,1,0.851854315786741
19,0,3,3,2,0.846729810840271
19,1,4,3,1,0.835981925390317
19,1,4,3,2,0.82728270320381
19,3,1,4,1,0.828541051816376
19,2,2,4,1,0.843054818759471
19,2,2,4,2,0.836548997036038
19,1,3,4,1,0.851978400855802
19,1,3,4,2,0.847070164017806
19,0,4,4,1,0.845565241650031
19,0,4,4,2,0.838691041712234
20,0,1,1,1,0.845592564043347
20,0,1,1,2,0.844839979592475
20,1,2,1,1,0.831634737839885
20,1,2,1,2,0.82718939375083
20,1,1,2,1,0.844752293193158
20,1,1,2,2,0.840350336077482
20,0,2,2,1,0.841890442161122
20,0,2,2,2,0.834509432295818
20,1,3,2,1,0.836034551949199
20,1,3,2,2,0.82492887089583
20,2,1,3,1,0.833316497673957
20,1,2,3,1,0.832719605440103
20,1,2,3,2,0.831075578797786
20,0,3,3,1,0.84100507599785
20,0,3,3,2,0.832255887754543
20,1,3,4,1,0.843467043090543
20,1,3,4,2,0.828996977468582
20,0,4,4,1,0.833665754811842
21,0,1,1,1,0.849078038872423
21,0,1,1,2,0.848855499278525
21,1,2,1,1,0.840404735982201
21,1,2,1,2,0.834027176661835
21,1,1,2,1,0.845564435431286
21,1,1,2,2,0.843774539216891
21,0,2,2,1,0.845873977521143
21,0,2,2,2,0.841764406882147
21,1,3,2,1,0.835105624303659
21,1,3,2,2,0.829703290660183
21,2,1,3,1,0.834122052179541
21,2,1,3,2,0.827361482326225
21,1,2,3,1,0.837635638057986
21,1,2,3,2,0.83268508439636
21,0,3,3,1,0.846931524384706
21,0,3,3,2,0.842292755742711
21,1,4,3,1,0.832604722054202
21,3,1,4,1,0.827657938075633
21,2,2,4,1,0.827857052747558
21,1,3,4,1,0.845682797784736
21,1,3,4,2,0.83942435242131
21,0,4,4,1,0.838446642349967
21,0,4,4,2,0.829414416411249
22,0,1,1,1,0.839041070104167
22,0,1,1,2,0.838388619950106
22,1,2,1,1,0.836993228703902
22,1,2,1,2,0.832166756019382
22,1,1,2,1,0.833585496509759
22,1,1,2,2,0.825510352797341
22,0,2,2,1,0.849036502330039
22,0,2,2,2,0.844917945012225
22,1,3,2,1,0.844381338216748
22,1,3,2,2,0.838370445185126
22,1,2,3,1,0.845098661597845
22,1,2,3,2,0.839323806091978
22,0,3,3,1,0.849432821439646
22,0,3,3,2,0.845510870188352
22,1,4,3,1,0.831613675909855
22,2,2,4,1,0.838605211484118
22,2,2,4,2,0.831868581070457
22,1,3,4,1,0.84845549258261
22,1,3,4,2,0.847056797866556
22,0,4,4,1,0.846997543393629
22,0,4,4,2,0.840102889414517
23,0,1,1,1,0.847901517666522
23,0,1,1,2,0.845791615757185
23,1,2,1,1,0.8270765470238
23,2,3,1,1,0.829465350815555
23,1,1,2,1,0.842633598526145
23,1,1,2,2,0.839659186756782
23,0,2,2,1,0.831943975366903
23,0,2,2,2,0.825499220455552
23,1,3,2,1,0.841612338265157
23,1,3,2,2,0.836048926308521
23,2,1,3,1,0.838598145003977
23,2,1,3,2,0.830218705713716
23,1,2,3,1,0.838979645233062
23,1,2,3,2,0.828598535193586
23,0,3,3,1,0.847079477623504
23,0,3,3,2,0.842934076773078
23,1,4,3,1,0.834978189853897
23,1,4,3,2,0.825674516522744
23,3,1,4,1,0.8313562182355
23,3,1,4,2,0.830592862952908
23,2,2,4,1,0.843848792975772
23,2,2,4,2,0.833070105602047
23,1,3,4,1,0.849119992699807
23,1,3,4,2,0.843310937935148
23,0,4,4,1,0.847737107081435
23,0,4,4,2,0.837384420904633
24,0,1,1,1,0.848167833618053
24,0,1,1,2,0.850484082673889
24,1,2,1,1,0.848195639971653
24,1,2,1,2,0.84277609999957
24,2,3,1,1,0.839845591315886
24,2,3,1,2,0.835965115773708
24,1,1,2,1,0.845025938289573
24,1,1,2,2,0.838742966812436
24,0,2,2,1,0.852559558343596
24,0,2,2,2,0.847396967105609
24,1,3,2,1,0.849741734030041
24,1,3,2,2,0.845916761241209
24,2,1,3,1,0.840885084925228
24,2,1,3,2,0.835867993148947
24,1,2,3,1,0.853127987992733
24,1,2,3,2,0.846714773080848
24,0,3,3,1,0.853757685564847
24,0,3,3,2,0.852206050408853
24,1,4,3,1,0.833895178326314
24,1,4,3,2,0.827153042640862
24,3,1,4,1,0.845473756235201
24,3,1,4,2,0.838422913603646
24,2,2,4,1,0.854392669791426
24,2,2,4,2,0.848583327246961
24,1,3,4,1,0.855413635274239
24,1,3,4,2,0.854378316538767
24,0,4,4,1,0.845041060854927
24,0,4,4,2,0.836198045954952
25,0,1,1,1,0.851628298294489
25,0,1,1,2,0.852478223811408
25,1,2,1,1,0.836758814370331
25,1,2,1,2,0.834520443778194
25,1,1,2,1,0.84976113656776
25,1,1,2,2,0.845929544924069
25,0,2,2,1,0.84456447031416
25,0,2,2,2,0.840305037997437
25,1,3,2,1,0.831211113554959
25,1,3,2,2,0.83107726316764
25,2,1,3,1,0.838729865406497
25,2,1,3,2,0.837726053682055
25,1,2,3,1,0.843698718597997
25,1,2,3,2,0.839237424224747
25,0,3,3,1,0.849393799112488
25,0,3,3,2,0.844377023982282
25,3,1,4,1,0.830817693992581
25,2,2,4,1,0.836187218315506
25,2,2,4,2,0.832544634764945
25,1,3,4,1,0.845449572738482
25,1,3,4,2,0.845853184907275
25,0,4,4,1,0.827448014553171
26,0,1,1,1,0.841173944537593
26,0,1,1,2,0.840672931959234
26,1,2,1,1,0.836337676610368
26,1,2,1,2,0.836600757212038
26,2,3,1,1,0.830518791457717
26,2,3,1,2,0.829057470853973
26,1,1,2,1,0.827766197414393
26,1,1,2,2,0.826054910231496
26,0,2,2,1,0.842318618108867
26,0,2,2,2,0.841672757376087
26,1,3,2,1,0.838218670296053
26,1,3,2,2,0.837365246703833
26,1,2,3,1,0.83925085530927
26,1,2,3,2,0.839179955503915
26,0,3,3,1,0.847294444340741
26,0,3,3,2,0.845164749026682
26,1,4,3,1,0.828006666886107
26,1,4,3,2,0.823811644113732
26,2,2,4,1,0.833296762172321
26,2,2,4,2,0.8348307869233
26,1,3,4,1,0.847429686144946
26,1,3,4,2,0.845715711542295
26,0,4,4,1,0.840972748627121
26,0,4,4,2,0.83506044609464
27,0,1,1,1,0.848177061194806
27,0,1,1,2,0.849794187653641
27,1,2,1,1,0.845774137426959
27,1,2,1,2,0.844091704330703
27,2,3,1,1,0.839109539483362
27,2,3,1,2,0.83591639975656
27,1,1,2,1,0.846981309971706
27,1,1,2,2,0.845737026865062
27,0,2,2,1,0.850066493420224
27,0,2,2,2,0.850414282761258
27,1,3,2,1,0.847782290672728
27,1,3,2,2,0.847403463056503
27,2,1,3,1,0.841992524262435
27,2,1,3,2,0.842834029510146
27,1,2,3,1,0.852303885355187
27,1,2,3,2,0.852239110812226
27,0,3,3,1,0.853086500896797
27,0,3,3,2,0.85445942127727
27,1,4,3,1,0.841201743205394
27,1,4,3,2,0.836857513960563
27,3,1,4,1,0.844371867093393
27,3,1,4,2,0.840649467098252
27,2,2,4,1,0.850725356634093
27,2,2,4,2,0.853442503462201
27,1,3,4,1,0.853568699183979
27,1,3,4,2,0.855209819879359
27,0,4,4,1,0.843885432029818
27,0,4,4,2,0.842899468840507
28,0,1,1,1,0.846713634889753
28,0,1,1,2,0.844077724215156
28,1,1,2,1,0.832830663165404
28,1,1,2,2,0.829775735510152
28,0,2,2,1,0.828816543121436
28,1,3,2,1,0.837751505576415
28,1,3,2,2,0.830512330009098
28,2,4,2,1,0.823353131194954
28,1,2,3,1,0.828668631316649
28,0,3,3,1,0.844262337541655
28,0,3,3,2,0.839133395344194
28,1,4,3,1,0.835840457778117
28,1,4,3,2,0.828455796836511
28,2,2,4,1,0.823003566281951
28,1,3,4,1,0.840821493112281
28,1,3,4,2,0.837483845780328
28,0,4,4,1,0.837446019036231
28,0,4,4,2,0.833636645732986
29,0,1,1,1,0.849936323974618
29,0,1,1,2,0.846450049429555
29,1,2,1,1,0.82517346890001
29,2,3,1,1,0.831215863191475
29,2,3,1,2,0.827391657634553
29,1,1,2,1,0.842313387174561
29,1,1,2,2,0.83857648272754
29,0,2,2,1,0.830825210694771
29,0,2,2,2,0.825998216432409
29,1,3,2,1,0.841083405295694
29,1,3,2,2,0.839226662013671
29,2,4,2,1,0.829738034606513
29,2,1,3,1,0.832390598538161
29,2,1,3,2,0.823766453701101
29,1,2,3,1,0.837133642416486
29,1,2,3,2,0.827631994456199
29,0,3,3,1,0.850203275708836
29,0,3,3,2,0.847302086982398
29,1,4,3,1,0.841944325260051
29,1,4,3,2,0.833845431172648
29,3,1,4,1,0.827848280282504
29,2,2,4,1,0.838920808510958
29,2,2,4,2,0.827805244452818
29,1,3,4,1,0.852056164528699
29,1,3,4,2,0.847931113088477
29,0,4,4,1,0.847261303080661
29,0,4,4,2,0.842327745154534
30,0,1,1,1,0.851433220571553
30,0,1,1,2,0.845903827994699
30,1,2,1,1,0.843032573830509
30,1,2,1,2,0.834668800918373
30,2,3,1,1,0.829957527699035
30,1,1,2,1,0.845677526443375
30,1,1,2,2,0.836975535920162
30,0,2,2,1,0.849236954368713
30,0,2,2,2,0.841008882745154
30,1,3,2,1,0.847064803816529
30,1,3,2,2,0.835556706302651
30,2,1,3,1,0.841250662226856
30,2,1,3,2,0.832130693252291
30,1,2,3,1,0.849363744094958
30,1,2,3,2,0.84079901166345
30,0,3,3,1,0.854814674490805
30,0,3,3,2,0.844496363754034
30,1,4,3,1,0.842489890409675
30,1,4,3,2,0.823213629881516
30,3,1,4,1,0.84008176606719
30,3,1,4,2,0.830639629441551
30,2,2,4,1,0.849922550620167
30,2,2,4,2,0.838687374376139
30,1,3,4,1,0.854081487799232
30,1,3,4,2,0.842840342646582
30,0,4,4,1,0.8483005064378
30,0,4,4,2,0.826714487989072
