WPA_imp,FLOW,D_relative_SO_SOURCE_SINK
0.818181818181818,0.489542688989544,1
0.785714285714286,0.484612999368123,1
0.764705882352942,0.487505271110508,1
0.76923076923077,0.483367834809461,1
0.833333333333333,0.491300626309456,1
0.833333333333333,0.484710594593214,1
0.777777777777778,0.489900469823896,1
0.642857142857143,0.483824537333587,1
0.789473684210526,0.492947657513959,1
0.8,0.488753999123847,1
0.909090909090909,0.488416092060624,1
0.647058823529412,0.486788643550054,1
0.8125,0.488225083128992,1
0.928571428571428,0.491605669710036,1
0.647058823529412,0.496516892283216,1
0.666666666666667,0.488051452038589,1
1,0.487847791382172,1
0.733333333333334,0.489714010116536,1
0.941176470588235,0.484237870630063,1
0.941176470588235,0.491459813278501,1
0.857142857142857,0.494328978690792,1
0.615384615384615,0.48978898801985,1
0.888888888888889,0.492372169048301,1
0.882352941176471,0.495046109589756,1
1,0.492973142948691,1
1,0.493412940099432,1
1,0.490718343522591,1
0.8,0.489791515663806,1
0.842105263157895,0.488295309881212,1
0.722222222222222,0.48547191571986,1
1.0625,0.494470219905875,1
1.11764705882353,0.496594448390783,1
0.9,0.49302618828085,1
1,0.490045161282524,1
0.894736842105263,0.488969904153575,1
1,0.491019543912593,1
0.764705882352942,0.487194904878352,1
0.9,0.491285220736124,1
0.785714285714286,0.495378770088765,1
0.9375,0.493551827704759,1
0.789473684210526,0.48051890208075,1
1,0.489907346709813,1
1,0.49287101145922,1
0.9,0.491819167618681,1
0.842105263157895,0.4920718356046,1
1,0.48633745559782,1
1,0.493306466316479,1
0.888888888888889,0.491361846650858,1
0.818181818181818,0.454888911635334,-1
0.785714285714286,0.461071568302163,-1
0.764705882352942,0.460967935169771,-1
0.76923076923077,0.465124499969949,-1
0.833333333333333,0.464698662200785,-1
0.833333333333333,0.448267773643759,-1
0.777777777777778,0.455158178208467,-1
0.642857142857143,0.469092295723969,-1
0.789473684210526,0.469335440174395,-1
0.8,0.452115123981651,-1
0.909090909090909,0.462851468343581,-1
0.647058823529412,0.46691774888453,-1
0.8125,0.464540570326258,-1
0.928571428571428,0.471924486766992,-1
0.647058823529412,0.465534304165743,-1
0.666666666666667,0.471394216168919,-1
1,0.463317726532685,-1
0.733333333333334,0.463160165035132,-1
0.941176470588235,0.466982658160789,-1
0.941176470588235,0.464837444483841,-1
0.857142857142857,0.474516727065852,-1
0.615384615384615,0.469377302115209,-1
0.888888888888889,0.467574082115957,-1
0.882352941176471,0.462475038059366,-1
1,0.47579430598447,-1
1,0.475221871365195,-1
1,0.480352049552777,-1
0.8,0.481590883067143,-1
0.842105263157895,0.479767816192231,-1
0.722222222222222,0.477050030419105,-1
1.0625,0.476297903665424,-1
1.11764705882353,0.478356931082994,-1
0.9,0.474667030369179,-1
1,0.476819937938037,-1
0.894736842105263,0.473969579851523,-1
1,0.475934998715868,-1
0.764705882352942,0.468530852334898,-1
0.9,0.478657597596026,-1
0.785714285714286,0.486955471547369,-1
0.9375,0.472218965745877,-1
0.789473684210526,0.467745620975307,-1
1,0.473286605675554,-1
1,0.475075626628028,-1
0.9,0.476995168334895,-1
0.842105263157895,0.479654534276129,-1
1,0.469935631888426,-1
1,0.475633999237031,-1
0.888888888888889,0.47192654690032,-1
0.818181818181818,0.475954149973435,0
0.785714285714286,0.480217660812682,0
0.764705882352941,0.479616771717719,0
0.769230769230769,0.479814979829532,0
0.833333333333334,0.482688909592647,0
0.833333333333334,0.474233098697221,0
0.777777777777778,0.481598829073857,0
0.642857142857143,0.481255088400662,0
0.789473684210526,0.484969242391566,0
0.8,0.47317050890928,0
0.909090909090909,0.479210604903064,0
0.647058823529412,0.479435768600932,0
0.8125,0.480441912212112,0
0.928571428571428,0.485318683748407,0
0.647058823529412,0.484641836922351,0
0.666666666666667,0.483172258494269,0
1,0.48112640038878,0
0.733333333333334,0.480136500399889,0
0.941176470588235,0.47676973268234,0
0.941176470588235,0.482956239971334,0
0.857142857142857,0.487135118474476,0
0.615384615384615,0.484452022099093,0
0.888888888888889,0.482973846573566,0
0.882352941176471,0.486084339029323,0
1,0.486488021994884,0
1,0.485768069644153,0
1,0.489378871939844,0
0.8,0.487756787906859,0
0.842105263157895,0.48667075282396,0
0.722222222222222,0.488526391926467,0
1.0625,0.488351854784579,0
1.11764705882353,0.488789272500275,0
0.9,0.486199333795048,0
1,0.486226433257765,0
0.894736842105263,0.485663186006757,0
1,0.48703255725992,0
0.764705882352941,0.490959003810615,0
0.9,0.488353949673737,0
0.785714285714286,0.492124685461083,0
0.9375,0.485286080204838,0
0.789473684210526,0.487313864808972,0
1,0.485796665766258,0
1,0.48787270909001,0
0.9,0.487554147659675,0
0.842105263157895,0.488312846876779,0
1,0.482362976057943,0
1,0.488136657647495,0
0.888888888888889,0.48527343071727,0
